intelligence level,health
14,good
12,good
10,good
16,good
16,good
12,bad
16,good
16,good
16,good
12,good
12,good
16,good
17,good
16,good
16,good
16,good
17,good
17,good
17,good
16,good
17,good
14,good
12,good
13,good
13,good
17,good
13,good
17,good
16,bad
16,bad
14,good
10,bad
10,good
16,good
12,good
13,good
16,good
13,good
16,good
12,good
17,good
16,good
16,good
16,good
14,good
17,good
17,good
17,good
17,good
17,good
17,good
17,good
17,good
17,good
13,good
5,good
16,good
13,good
13,good
16,good
17,good
12,good
17,good
17,good
17,good
17,good
17,good
17,good
17,good
16,good
16,good
16,good
17,good
17,good
17,good
17,good
17,good
17,good
17,good
13,good
17,good
17,good
16,good
17,good
17,good
10,good
8,bad
17,good
14,good
16,good
13,good
16,good
17,good
16,good
13,good
17,good
14,good
14,good
16,good
17,good
16,good
17,good
17,good
17,good
17,good
17,good
16,good
17,good
17,good
16,good
13,good
17,good
12,good
13,good
17,good
16,good
16,good
16,good
17,good
13,good
17,good
17,good
17,good
17,good
17,good
17,good
17,good
17,good
17,good
17,good
17,good
17,good
17,good
16,good
17,good
17,good
16,good
16,good
17,good
17,good
17,good
16,good
17,good
16,good
14,good
17,good
17,good
13,good
17,bad
17,good
17,good
14,good
17,bad
16,good
16,bad
17,good
16,bad
16,good
17,good
17,good
14,good
17,good
12,good
17,good
17,good
16,good
16,good
13,good
17,good
17,good
17,good
17,good
17,good
17,good
16,good
17,good
17,good
17,good
13,good
17,good
16,good
16,good
17,good
17,bad
17,good
16,good
17,good
17,good
12,good
16,bad
12,good
12,good
13,good
13,good
12,good
13,good
10,good
12,good
14,bad
12,good
12,good
13,good
17,good
13,good
12,good
13,good
13,good
12,good
10,good
12,good
12,bad
13,good
12,good
12,good
17,good
17,good
13,good
16,good
17,good
16,good
12,good
17,good
17,good
17,good
17,good
13,good
12,bad
16,good
17,good
12,good
12,good
14,good
16,good
17,good
12,good
13,good
16,good
17,good
13,good
12,good
14,good
16,good
13,good
13,good
12,good
14,good
14,good
12,good
12,good
16,bad
16,good
13,good
13,good
17,good
13,good
17,bad
14,good
17,good
16,good
